the elephant with my cat walked I with an dog outside John on a cat outside my dog with the man with my man,"[['PETS', 0.07936443], ['ARTS AND ENTERTAINMENT', 0.05241318], ['EDUCATION', 0.05197911], ['TRAVEL', 0.05152936], ['HOBBIES AND INTERESTS', 0.051242]]","[['PETS', 0.99992], ['ARTS AND ENTERTAINMENT', 2.35035e-06], ['SPORTS', 1.60961e-06], ['HOBBIES AND INTERESTS', 1.06607e-07], ['HEALTH AND FITNESS', 1.01672e-07]]",False,1,0
the elephant with my telescope walked I with an dog outside John on a cat outside my dog with the man with my man,"[['PETS', 0.075635], ['EDUCATION', 0.05248024], ['ARTS AND ENTERTAINMENT', 0.05193112], ['TRAVEL', 0.05115055], ['HOBBIES AND INTERESTS', 0.05079988]]","[['PETS', 0.710341], ['SPORTS', 0.0346493], ['ARTS AND ENTERTAINMENT', 0.0176604], ['SCIENCE', 0.000770432], ['HEALTH AND FITNESS', 0.000650183]]",True,2,1
the elephant with my telescope ate I with an dog outside John on a cat outside my dog with the man with my man,"[['PETS', 0.0751084], ['EDUCATION', 0.05443047], ['ARTS AND ENTERTAINMENT', 0.05090607], ['HOBBIES AND INTERESTS', 0.05066479], ['TRAVEL', 0.05038993]]","[['PETS', 0.646033], ['ARTS AND ENTERTAINMENT', 0.0120956], ['SPORTS', 0.00265525], ['HEALTH AND FITNESS', 0.000434679], ['SCIENCE', 0.000186849]]",True,3,2
the elephant with my telescope ate I with an dog outside John on a cat in my dog with the man with my man,"[['PETS', 0.07523017], ['EDUCATION', 0.05455427], ['ARTS AND ENTERTAINMENT', 0.05114635], ['HOBBIES AND INTERESTS', 0.0506223], ['TRAVEL', 0.05022931]]","[['PETS', 0.978991], ['ARTS AND ENTERTAINMENT', 0.000491744], ['SPORTS', 5.2802e-05], ['NON STANDARD CONTENT', 6.24406e-06], ['HEALTH AND FITNESS', 6.07933e-06]]",True,4,3
the elephant with my telescope ate I with an dog with John on a cat in my dog with the man with my man,"[['PETS', 0.07457518], ['EDUCATION', 0.05445149], ['HOBBIES AND INTERESTS', 0.05315616], ['ARTS AND ENTERTAINMENT', 0.05181976], ['SCIENCE', 0.05055626]]","[['PETS', 0.691852], ['ARTS AND ENTERTAINMENT', 0.000302972], ['SPORTS', 2.21669e-05], ['SCIENCE', 6.27394e-06], ['HEALTH AND FITNESS', 4.80277e-06]]",False,5,3
the elephant with my telescope ate I with an dog outside Bob on a cat in my dog with the man with my man,"[['PETS', 0.07812547], ['TRAVEL', 0.05228667], ['SPORTS', 0.05159631], ['SCIENCE', 0.05084504], ['ARTS AND ENTERTAINMENT', 0.05073088]]","[['PETS', 0.986677], ['ARTS AND ENTERTAINMENT', 0.000485231], ['SPORTS', 6.1692e-05], ['NON STANDARD CONTENT', 6.90247e-06], ['HOBBIES AND INTERESTS', 3.24442e-06]]",False,6,3
the elephant with my telescope killed I with an dog outside John on a cat in my dog with the man with my man,"[['PETS', 0.07492364], ['RELIGION AND SPIRITUALITY', 0.05397297], ['EDUCATION', 0.05344692], ['TRAVEL', 0.05155186], ['SCIENCE', 0.05122429]]","[['PETS', 0.992048], ['ARTS AND ENTERTAINMENT', 0.000386489], ['SPORTS', 0.000118622], ['SCIENCE', 1.19867e-05], ['HOBBIES AND INTERESTS', 6.23798e-06]]",True,7,4
the elephant with my telescope killed I with an dog outside Bob on a cat in my dog with the man with my man,"[['PETS', 0.07784947], ['TRAVEL', 0.05369259], ['SCIENCE', 0.05240059], ['HOBBIES AND INTERESTS', 0.0500275], ['RELIGION AND SPIRITUALITY', 0.04972564]]","[['PETS', 0.994846], ['ARTS AND ENTERTAINMENT', 0.000379526], ['SPORTS', 0.000137751], ['HOBBIES AND INTERESTS', 8.84866e-06], ['SCIENCE', 5.1462e-06]]",False,8,4
the elephant with my telescope killed I with an dog outside John on a cat in my dog with an man with my man,"[['PETS', 0.07492364], ['RELIGION AND SPIRITUALITY', 0.05397297], ['EDUCATION', 0.05344692], ['TRAVEL', 0.05155186], ['SCIENCE', 0.05122429]]","[['PETS', 0.99179], ['ARTS AND ENTERTAINMENT', 0.000153389], ['SPORTS', 0.000122747], ['CAREERS', 4.64622e-06], ['SCIENCE', 4.28345e-06]]",True,9,5
the elephant with my telescope killed I with an dog outside Bob on a cat in my dog with an man with my man,"[['PETS', 0.07784947], ['TRAVEL', 0.05369259], ['SCIENCE', 0.05240059], ['HOBBIES AND INTERESTS', 0.0500275], ['RELIGION AND SPIRITUALITY', 0.04972564]]","[['PETS', 0.994739], ['ARTS AND ENTERTAINMENT', 0.000150671], ['SPORTS', 0.000142412], ['HOBBIES AND INTERESTS', 3.24662e-06], ['NON STANDARD CONTENT', 2.4402e-06]]",True,10,6
