Bob ate I in I,"[['SPORTS', 0.05826741], ['ARTS AND ENTERTAINMENT', 0.05089278], ['FOOD AND DRINK', 0.05074253], ['TECHNOLOGY AND COMPUTING', 0.04972959], ['HOBBIES AND INTERESTS', 0.04953256]]","[['FOOD AND DRINK', 0.165975], ['RELIGION AND SPIRITUALITY', 0.0631231], ['STYLE AND FASHION', 0.0458585], ['SPORTS', 0.0333878], ['HOME AND GARDEN', 0.0324616]]",True,1,1
Mary ate Mary,"[['FOOD AND DRINK', 0.04999823], ['HEALTH AND FITNESS', 0.04983926], ['EDUCATION', 0.0492779], ['ARTS AND ENTERTAINMENT', 0.04881382], ['TECHNOLOGY AND COMPUTING', 0.04862853]]","[['TRAVEL', 0.157675], ['FOOD AND DRINK', 0.148178], ['SOCIETY', 0.0782813], ['HOBBIES AND INTERESTS', 0.0388332], ['CAREERS', 0.0370362]]",True,2,2
Bob killed Mary,"[['BUSINESS', 0.05142488], ['LAW GOVERNMENT AND POLITICS', 0.04993618], ['REAL ESTATE', 0.04919397], ['RELIGION AND SPIRITUALITY', 0.0491727], ['STYLE AND FASHION', 0.04911888]]","[['PETS', 0.378156], ['HEALTH AND FITNESS', 0.233509], ['BUSINESS', 0.18572], ['HOBBIES AND INTERESTS', 0.0307768], ['TRAVEL', 0.0165709]]",True,3,3
I shot Bob,"[['SPORTS', 0.06436719], ['TECHNOLOGY AND COMPUTING', 0.05092121], ['ARTS AND ENTERTAINMENT', 0.05068105], ['TRAVEL', 0.04931387], ['HEALTH AND FITNESS', 0.04869447]]","[['SPORTS', 0.85734], ['HOBBIES AND INTERESTS', 0.00574332], ['HEALTH AND FITNESS', 0.00323189], ['FOOD AND DRINK', 0.00211528], ['NON STANDARD CONTENT', 0.00132713]]",True,4,4
a cat with the man outside Mary wounded John by John on Bob,"[['PETS', 0.06194561], ['SPORTS', 0.05689955], ['ARTS AND ENTERTAINMENT', 0.0549201], ['HEALTH AND FITNESS', 0.05396402], ['BUSINESS', 0.05091155]]","[['PETS', 1.0], ['SPORTS', 2.92457e-08], ['HOBBIES AND INTERESTS', 9.31578e-11], ['ARTS AND ENTERTAINMENT', 4.5816e-12], ['TRAVEL', 2.47439e-12]]",False,5,4
Bob ate an cat with a cat on my elephant on Bob,"[['PETS', 0.06755513], ['HEALTH AND FITNESS', 0.05128794], ['SPORTS', 0.04948666], ['HOBBIES AND INTERESTS', 0.04861306], ['EDUCATION', 0.04853442]]","[['PETS', 1.0], ['SPORTS', 1.63403e-22], ['HOBBIES AND INTERESTS', 7.31557e-24], ['SCIENCE', 7.91547e-26], ['ARTS AND ENTERTAINMENT', 5.78255e-26]]",False,6,4
John killed the elephant,"[['LAW GOVERNMENT AND POLITICS', 0.05307885], ['RELIGION AND SPIRITUALITY', 0.05141108], ['EDUCATION', 0.05078197], ['BUSINESS', 0.04884249], ['PERSONAL FINANCE', 0.04842574]]","[['STYLE AND FASHION', 1.0], ['FOOD AND DRINK', 1.58826e-09], ['HEALTH AND FITNESS', 7.55843e-10], ['SPORTS', 4.97166e-10], ['HOBBIES AND INTERESTS', 1.4892e-10]]",True,7,5
I saw Mary outside my man,"[['HEALTH AND FITNESS', 0.05751864], ['RELIGION AND SPIRITUALITY', 0.05335905], ['SPORTS', 0.05259276], ['HOBBIES AND INTERESTS', 0.05246255], ['AUTOMOTIVE', 0.05228202]]","[['SPORTS', 1.0], ['SOCIETY', 1.89544e-09], ['ARTS AND ENTERTAINMENT', 1.0064e-09], ['NON STANDARD CONTENT', 5.81689e-10], ['HOBBIES AND INTERESTS', 1.16748e-10]]",True,8,6
Bob wounded Mary with John,"[['ARTS AND ENTERTAINMENT', 0.05399618], ['SPORTS', 0.05375319], ['BUSINESS', 0.05120221], ['LAW GOVERNMENT AND POLITICS', 0.05071073], ['HEALTH AND FITNESS', 0.05020042]]","[['CAREERS', 0.471845], ['HOBBIES AND INTERESTS', 0.248676], ['SPORTS', 0.0787338], ['TECHNOLOGY AND COMPUTING', 0.0266242], ['TRAVEL', 0.0208107]]",True,9,7
Bob wounded an pajamas in Bob,"[['SPORTS', 0.0541032], ['HEALTH AND FITNESS', 0.04969922], ['BUSINESS', 0.04962042], ['ARTS AND ENTERTAINMENT', 0.049554], ['PETS', 0.04899211]]","[['SCIENCE', 0.319284], ['CAREERS', 0.179598], ['SPORTS', 0.126316], ['FOOD AND DRINK', 0.0535459], ['HOBBIES AND INTERESTS', 0.0304239]]",True,10,8
