I looked my company home on a country woman Thomas,"[['HOME AND GARDEN', 0.05924778], ['TRAVEL', 0.05490548], ['REAL ESTATE', 0.05405749], ['HEALTH AND FITNESS', 0.05157056], ['AUTOMOTIVE', 0.05063715]]","[['HOBBIES AND INTERESTS', 0.561853], ['TRAVEL', 0.100021], ['SPORTS', 0.0460583], ['RELIGION AND SPIRITUALITY', 0.0313864], ['SOCIETY', 0.028764]]",True,1,1,23:34:49.626698
I looked my home home on a country woman Thomas,"[['HOME AND GARDEN', 0.05574293], ['TRAVEL', 0.05562321], ['HEALTH AND FITNESS', 0.05343909], ['REAL ESTATE', 0.05281454], ['EDUCATION', 0.05074464]]","[['HOBBIES AND INTERESTS', 0.773612], ['EDUCATION', 0.0335735], ['FAMILY AND PARENTING', 0.0286268], ['SOCIETY', 0.0274292], ['SPORTS', 0.0146341]]",True,2,2,23:34:54.733153
I needed my home home on a country woman Thomas,"[['HOME AND GARDEN', 0.05722588], ['TRAVEL', 0.05289654], ['REAL ESTATE', 0.05197869], ['HEALTH AND FITNESS', 0.05197021], ['ARTS AND ENTERTAINMENT', 0.05073503]]","[['HOME AND GARDEN', 0.33406], ['HOBBIES AND INTERESTS', 0.174785], ['EDUCATION', 0.0792139], ['FAMILY AND PARENTING', 0.0541321], ['SOCIETY', 0.0519223]]",True,3,3,23:35:00.372713
I needed the home home on a country woman Thomas,"[['HOME AND GARDEN', 0.05635903], ['REAL ESTATE', 0.054913], ['ARTS AND ENTERTAINMENT', 0.05290234], ['TRAVEL', 0.05175834], ['EDUCATION', 0.04942209]]","[['EDUCATION', 0.261425], ['FAMILY AND PARENTING', 0.149622], ['LAW AND GOVERNMENT AND POLITICS', 0.12656], ['SOCIETY', 0.0892961], ['HOME AND GARDEN', 0.032795]]",False,4,3,23:35:05.407366
I looked my home home on a country woman Thomas,"[['HOME AND GARDEN', 0.05574293], ['TRAVEL', 0.05562321], ['HEALTH AND FITNESS', 0.05343909], ['REAL ESTATE', 0.05281454], ['EDUCATION', 0.05074464]]","[['HOBBIES AND INTERESTS', 0.773612], ['EDUCATION', 0.0335735], ['FAMILY AND PARENTING', 0.0286268], ['SOCIETY', 0.0274292], ['SPORTS', 0.0146341]]",True,4,3,23:35:11.071580
I looked my home home by a country woman Thomas,"[['HOME AND GARDEN', 0.05574293], ['TRAVEL', 0.05562321], ['HEALTH AND FITNESS', 0.05343909], ['REAL ESTATE', 0.05281454], ['EDUCATION', 0.05074464]]","[['HOBBIES AND INTERESTS', 0.723467], ['FAMILY AND PARENTING', 0.0422626], ['SOCIETY', 0.0406486], ['EDUCATION', 0.0390329], ['LAW AND GOVERNMENT AND POLITICS', 0.0168]]",True,5,4,23:35:16.295561
I looked my home home by a home woman Thomas,"[['HOME AND GARDEN', 0.05539389], ['TECHNOLOGY AND COMPUTING', 0.05476878], ['HEALTH AND FITNESS', 0.05434399], ['RELIGION AND SPIRITUALITY', 0.05283918], ['STYLE AND FASHION', 0.05137958]]","[['HOBBIES AND INTERESTS', 0.994901], ['EDUCATION', 0.00178158], ['HOME AND GARDEN', 0.00177184], ['FAMILY AND PARENTING', 0.000216362], ['TECHNOLOGY AND COMPUTING', 9.55687e-05]]",False,6,4,23:35:21.409932
I looked my room home by a country woman Thomas,"[['HOME AND GARDEN', 0.07017042], ['TRAVEL', 0.06027281], ['REAL ESTATE', 0.05480354], ['AUTOMOTIVE', 0.05064736], ['EDUCATION', 0.05006365]]","[['SOCIETY', 0.192645], ['FAMILY AND PARENTING', 0.156617], ['HOBBIES AND INTERESTS', 0.149635], ['EDUCATION', 0.0591672], ['LAW AND GOVERNMENT AND POLITICS', 0.0473213]]",True,7,5,23:35:26.750319
I looked my room home by the country woman Thomas,"[['HOME AND GARDEN', 0.07017042], ['TRAVEL', 0.06027281], ['REAL ESTATE', 0.05480354], ['AUTOMOTIVE', 0.05064736], ['EDUCATION', 0.05006365]]","[['EDUCATION', 0.166458], ['SOCIETY', 0.151379], ['FAMILY AND PARENTING', 0.143722], ['HOME AND GARDEN', 0.0822199], ['SPORTS', 0.0392913]]",False,8,5,23:35:32.314293
I needed my room home by a country woman Thomas,"[['HOME AND GARDEN', 0.07199738], ['TRAVEL', 0.05728653], ['REAL ESTATE', 0.05390639], ['ARTS AND ENTERTAINMENT', 0.05141037], ['EDUCATION', 0.04934499]]","[['SOCIETY', 0.162682], ['FAMILY AND PARENTING', 0.132106], ['TECHNOLOGY AND COMPUTING', 0.0662793], ['EDUCATION', 0.06352], ['LAW AND GOVERNMENT AND POLITICS', 0.0469695]]",True,9,6,23:35:37.487932
I needed my room home by an country woman Thomas,"[['HOME AND GARDEN', 0.07199738], ['TRAVEL', 0.05728653], ['REAL ESTATE', 0.05390639], ['ARTS AND ENTERTAINMENT', 0.05141037], ['EDUCATION', 0.04934499]]","[['EDUCATION', 0.146604], ['FAMILY AND PARENTING', 0.11232], ['HOME AND GARDEN', 0.0939383], ['SOCIETY', 0.0919732], ['HOBBIES AND INTERESTS', 0.0272573]]",False,10,6,23:35:43.019717
I needed the room home by a country woman Thomas,"[['HOME AND GARDEN', 0.07211663], ['REAL ESTATE', 0.05707249], ['TRAVEL', 0.05458686], ['ARTS AND ENTERTAINMENT', 0.05285352], ['EDUCATION', 0.04895816]]","[['HOME AND GARDEN', 0.215774], ['FAMILY AND PARENTING', 0.139863], ['TECHNOLOGY AND COMPUTING', 0.1017], ['TRAVEL', 0.0921601], ['HOBBIES AND INTERESTS', 0.0384901]]",False,11,6,23:35:48.256650
