Elise viewed I with an monkey with Steve near Mark near Mark near a giraffe,"[['SPORTS', 0.05851973], ['HOBBIES AND INTERESTS', 0.05398216], ['AUTOMOTIVE', 0.05015366], ['TRAVEL', 0.04920463], ['TECHNOLOGY AND COMPUTING', 0.04908239]]","[['SPORTS', 0.327698], ['HOBBIES AND INTERESTS', 0.0966943], ['NON STANDARD CONTENT', 0.090045], ['PETS', 0.0768911], ['SCIENCE', 0.0517057]]",False,1,0,23:39:55.986463
Elise viewed I with an monkey with Steve near Mark near Mark near the giraffe,"[['SPORTS', 0.05851973], ['HOBBIES AND INTERESTS', 0.05398216], ['AUTOMOTIVE', 0.05015366], ['TRAVEL', 0.04920463], ['TECHNOLOGY AND COMPUTING', 0.04908239]]","[['PETS', 0.365064], ['HOBBIES AND INTERESTS', 0.100976], ['SPORTS', 0.0922739], ['NON STANDARD CONTENT', 0.0746225], ['TRAVEL', 0.0349249]]",False,2,0,23:40:02.749592
Elise viewed I with an monkey with Steve near Mark near Mark near my giraffe,"[['SPORTS', 0.05625688], ['HOBBIES AND INTERESTS', 0.05505947], ['AUTOMOTIVE', 0.05367247], ['TRAVEL', 0.05120265], ['HEALTH AND FITNESS', 0.04973377]]","[['TECHNOLOGY AND COMPUTING', 0.999244], ['NON STANDARD CONTENT', 0.000137576], ['PETS', 0.000132485], ['SPORTS', 9.64592e-05], ['HOBBIES AND INTERESTS', 4.70522e-05]]",False,3,0,23:40:08.274392
Elise went I with an monkey with Steve near Mark near Mark near my giraffe,"[['AUTOMOTIVE', 0.05598184], ['SPORTS', 0.05496656], ['HEALTH AND FITNESS', 0.05203221], ['HOBBIES AND INTERESTS', 0.05176781], ['TRAVEL', 0.05125895]]","[['TECHNOLOGY AND COMPUTING', 0.997459], ['SPORTS', 0.000435912], ['PETS', 0.000310313], ['NON STANDARD CONTENT', 0.000291806], ['TRAVEL', 0.000163332]]",False,4,0,23:40:16.876437
Elise went I with an monkey with Steve near Mark near Mark near the giraffe,"[['SPORTS', 0.05718118], ['AUTOMOTIVE', 0.05231498], ['HOBBIES AND INTERESTS', 0.05075816], ['TECHNOLOGY AND COMPUTING', 0.0498849], ['HEALTH AND FITNESS', 0.04956177]]","[['PETS', 0.674116], ['SPORTS', 0.0604382], ['NON STANDARD CONTENT', 0.0259223], ['TRAVEL', 0.0211826], ['HOBBIES AND INTERESTS', 0.0137194]]",False,5,0,23:40:23.858997
Elise went I with an monkey with Steve near Mark near Mark near the fish,"[['SPORTS', 0.06292413], ['FOOD AND DRINK', 0.05237636], ['PETS', 0.05197304], ['AUTOMOTIVE', 0.05068204], ['RELIGION AND SPIRITUALITY', 0.04942115]]","[['SPORTS', 0.216079], ['SCIENCE', 0.146337], ['HOBBIES AND INTERESTS', 0.125842], ['TRAVEL', 0.0454216], ['NON STANDARD CONTENT', 0.0183163]]",True,6,1,23:40:29.122936
Elise went I with an giraffe with Steve near Mark near Mark near the fish,"[['SPORTS', 0.06196497], ['FOOD AND DRINK', 0.05298682], ['PETS', 0.05229921], ['AUTOMOTIVE', 0.05112515], ['RELIGION AND SPIRITUALITY', 0.05029469]]","[['SPORTS', 0.29756], ['HOBBIES AND INTERESTS', 0.173293], ['SCIENCE', 0.0434772], ['TRAVEL', 0.0319014], ['PETS', 0.0258307]]",False,7,1,23:40:35.040582
Elise went I with an giraffe with Steve near Mark near Steve near the fish,"[['SPORTS', 0.06196497], ['FOOD AND DRINK', 0.05298682], ['PETS', 0.05229921], ['AUTOMOTIVE', 0.05112515], ['RELIGION AND SPIRITUALITY', 0.05029469]]","[['SPORTS', 0.421211], ['HOBBIES AND INTERESTS', 0.0918377], ['TRAVEL', 0.0864989], ['TECHNOLOGY AND COMPUTING', 0.0576431], ['PETS', 0.00826803]]",False,8,1,23:40:40.851408
Elise went I with an giraffe with Steve near Mark near Steve near a fish,"[['SPORTS', 0.06196497], ['FOOD AND DRINK', 0.05298682], ['PETS', 0.05229921], ['AUTOMOTIVE', 0.05112515], ['RELIGION AND SPIRITUALITY', 0.05029469]]","[['SPORTS', 0.218823], ['TECHNOLOGY AND COMPUTING', 0.204498], ['TRAVEL', 0.0896665], ['HOBBIES AND INTERESTS', 0.0439137], ['PETS', 0.012396]]",False,9,1,23:40:46.982553
Mark went I with an giraffe with Steve near Mark near Steve near a fish,"[['SPORTS', 0.06231152], ['FOOD AND DRINK', 0.05285113], ['PETS', 0.05219515], ['AUTOMOTIVE', 0.05073172], ['RELIGION AND SPIRITUALITY', 0.05024006]]","[['SPORTS', 0.252842], ['TECHNOLOGY AND COMPUTING', 0.202081], ['TRAVEL', 0.0992051], ['AUTOMOTIVE', 0.0149162], ['FOOD AND DRINK', 0.00884968]]",False,10,1,23:40:52.818326
